##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
5, 114
5.01, 121
5.02, 115
5.03, 102
5.04, 107
5.05, 110
5.06, 112
5.07, 100
5.08, 129
5.09, 98
5.1, 108
5.11, 115
5.12, 111
5.13, 103
5.14, 94
5.15, 112
5.16, 107
5.17, 118
5.18, 112
5.19, 117
5.2, 93
5.21, 104
5.22, 115
5.23, 115
5.24, 118
5.25, 123
5.26, 104
5.27, 96
5.28, 105
5.29, 105
5.3, 103
5.31, 101
5.32, 112
5.33, 104
5.34, 112
5.35, 117
5.36, 110
5.37, 111
5.38, 98
5.39, 100
5.4, 130
5.41, 127
5.42, 121
5.43, 110
5.44, 93
5.45, 123
5.46, 107
5.47, 98
5.48, 97
5.49, 114
5.5, 108
5.51, 98
5.52, 115
5.53, 114
5.54, 99
5.55, 116
5.56, 117
5.57, 109
5.58, 133
5.59, 113
5.6, 117
5.61, 119
5.62, 114
5.63, 112
5.64, 110
5.65, 118
5.66, 98
5.67, 93
5.68, 121
5.69, 107
5.7, 98
5.71, 113
5.72, 109
5.73, 113
5.74, 103
5.75, 115
5.76, 99
5.77, 105
5.78, 104
5.79, 115
5.8, 123
5.81, 117
5.82, 119
5.83, 113
5.84, 108
5.85, 103
5.86, 106
5.87, 107
5.88, 134
5.89, 89
5.9, 113
5.91, 98
5.92, 127
5.93, 111
5.94, 117
5.95, 110
5.96, 96
5.97, 118
