,Formulas
0,La4
1,La1
2,La1
3,B12
4,B12
5,B40
6,B28
7,B50
8,B48
9,B50
10,B12
11,B108
12,B105
13,B15
14,B105
15,B1
16,B48
17,B48
18,La2 Si20
19,Sr3 La1
20,La1 Mg3
21,La1 Mg3
22,La2 Mg6
23,La1 Mg3
24,La2 Mg6
25,La10 Pb6
26,La3 Pm1
27,La10 Bi6
28,La2 Co26
29,La1 Mg7
30,La2 Cu26
31,La4 Mg2
32,La4 Mg2
33,La4 Mg2
34,La4 Mg2
35,La4 Mg2
36,La4 Mg2
37,La2 Be26
38,La2 Ge4
39,La4 I10
40,La1 Pt5
41,La4 Co4
42,Sr1 La3
43,Sr2 La6
44,La4 P20
45,La4 P20
46,La14 Ni6
47,La1 Hg2
48,La1 Hg2
49,La1 Hg2
50,La4 Cd34
51,Ac3 La1
52,Ac6 La2
53,La8 P16
54,La10 Ge6
55,La20 Rh16
56,La1 Tl1
57,La1 Te1
58,La1 Te1
59,La20 S38
60,La2 S2
61,La1 S1
62,La4 S4
63,La2 S2
64,La1 S1
65,La2 Ga12
66,La6 Zn44
67,La2 Ga2
68,La8 N24
69,La1 Ce3
70,La1 Ce3
71,La4 Sn10
72,La4 Sn10
73,La6 Hf2
74,La3 Hf1
75,La1 Tb3
76,La2 Tb6
77,La3 Sn1
78,La3 Tm1
79,La3 Rh9
80,La6 Rh18
81,La1 Rh3
82,La4 Ni14
83,La8 Ni28
84,La2 Rh2
85,La9 Ir6
86,La10 Ru4
87,La16 Al13
88,La4 Ir14
89,La8 Ir28
90,La3 Yb1
91,La6 Yb2
92,La3 Tl1
93,La3 Tl1
94,La3 Hg1
95,La6 Hg2
96,La2 Sn4
97,La1 Ce4
98,La4 S8
99,La8 S16
100,La8 S16
101,La2 S4
102,La8 Sb6
103,La2 Zn22
104,La2 Al6
105,La3 Sc1
106,La1 Zn1
107,La12 Ni4
108,La3 Nd1
109,La1 Np3
110,La2 Ag10
111,La1 H2
112,La1 Pb2
113,La3 Lu1
114,La2 Mg4
115,La2 Mg4
116,La2 Mg4
117,La2 Mg4
118,La2 Mg4
119,La2 Mg4
120,La4 Mg8
121,La2 Mg4
122,La8 Rh6
123,La2 Ge3
124,La24 Ge44
125,La2 Si3
126,La6 Pt8
127,La4 Rh14
128,La8 Rh28
129,La6 Zr2
130,La3 Zr1
131,La1 Th1
132,La1 Pd2
133,La26 Cd116
134,La1 Mg15
135,La2 Zn4
136,La1 P1
137,La2 Ag4
138,La1 Ga2
139,La20 Pb16
140,La6 O9
141,La2 O3
142,La2 O3
143,La2 O3
144,La16 O24
145,La2 O3
146,La6 Ge10
147,La2 Fe18
148,La1 O1
149,La8 C12
150,Li3 La1
151,La4 Cu4
152,La2 Zn8
153,La14 Pt6
154,La2 U6
155,La1 U3
156,La14 Pd6
157,La6 Cd2
158,La3 Cd1
159,La8 As16
160,La4 As8
161,La1 Pm3
162,La2 Pm6
163,La1 F2
164,La1 Ge5
165,La1 Gd3
166,La2 Gd6
167,La12 Os4
168,La1 Hg1
169,La3 Nb1
170,La3 Ce1
171,La1 Hg3
172,La2 Hg6
173,La2 Pt4
174,La6 Sn10
175,La1 Pr3
176,La1 Pr3
177,La5 Mg1
178,La5 Mg1
179,La5 Mg1
180,La5 Mg1
181,La2 O6
182,La2 O6
183,La2 O6
184,La3 Cl1
185,La3 Cl1
186,La1 Bi3
187,La10 Ir4
188,La8 Au4
189,Na1 La3
190,La1 Dy1
191,La2 Zn26
192,La4 Te10
193,Ba6 La2
194,Ba3 La1
195,La12 Co4
196,La12 Ru4
197,La3 Ru1
198,La20 Si16
199,La8 Os2
200,La1 Pd5
201,La3 Ho1
202,La1 V1
203,La3 Dy1
204,La2 I6
205,La2 Al4
206,La1 Bi1
207,La3 Zn1
208,La3 Zn1
209,La1 Pb3
210,La22 Hg90
211,La3 Al12
212,La3 Al12
213,La3 Mg1
214,La3 Mg1
215,La3 Mg1
216,La6 Mg2
217,La3 Mg1
218,La16 Sb28 Pt34
219,La16 Mg4 Co4
220,La2 Mg4 Ni2
221,La1 P2 Pd2
222,La4 Er4 O12
223,La3 In1 N1
224,La1 Er1 In2
225,La2 B6 Rh9
226,La5 Er5 Ge6
227,La2 Bi4 Au2
228,La1 Bi2 O4
229,La4 Sb4 O16
230,La12 P4 I12
231,La4 Ti4 O12
232,La1 Ti1 O3
233,La10 Mn12 O36
234,La2 Al2 O6
235,La6 Al6 O18
236,La6 Al6 O18
237,La6 Al6 O18
238,La2 Al2 O6
239,La8 Al8 O24
240,La12 Al12 O36
241,La12 Al12 O36
242,La6 Al6 O18
243,La2 Al2 O6
244,La2 Al2 O6
245,La1 Al1 O3
246,La1 Al1 O3
247,La12 Co26 Sn2
248,La3 In6 Ni9
249,La1 Fe12 B6
250,La6 Mg23 Si1
251,Cs6 La2 N36
252,La1 Mg1 In2
253,La2 Si4 Pt2
254,La4 W6 O24
255,La4 Tm11 S22
256,La2 In1 Ga1
257,La2 Si2 Ru2
258,La4 Ta4 N12
259,La1 Ga2 Rh3
260,La1 Pr1 Hg2
261,La1 Co1 Ge3
262,La6 Al2 O12
263,La10 Si10 I6
264,La10 Bi8 O27
265,La12 Ga8 Ni8
266,La1 Y1 Cu2
267,Sr1 La1 Cd2
268,La3 Zn4 Pd4
269,La8 Co2 S14
270,La1 Pd1 O4
271,La2 Cu18 Sn8
272,La12 Nb4 O28
273,La6 Nb2 O14
274,Ba12 La8 I48
275,La4 S6 O42
276,La1 Si2 Ru3
277,La2 Si4 Ru6
278,La1 Mg14 Bi1
279,La1 Mg14 Bi1
280,La2 Fe1 Sn4
281,La4 Tm4 O12
282,Na1 La1 Hg2
283,La2 Ni8 Sn4
284,La28 Ru12 O72
285,La2 Bi2 O6
286,La2 Bi2 O6
287,La4 Ho4 O12
288,La4 Ho4 O12
289,La1 Nd1 N2
290,Sr2 La2 Br10
291,Sr2 La2 Br10
292,La4 Cr4 O10
293,La4 Cr4 O10
294,La8 Al8 Rh8
295,La1 Bi1 Pd1
296,La4 Cr4 O16
297,La2 Re8 B8
298,La4 Sc4 O10
299,La6 Cu24 P12
300,La1 Cu2 Si2
301,La4 Sn4 F28
302,La1 Ce1 Pt2
303,La2 Al3 Sn1
304,La4 Ni4 P4
305,La2 Mg12 Al2
306,La1 Mg6 Al1
307,La2 Co2 Ge4
308,La4 Mg2 Cu4
309,La1 Yb1 Cu2
310,La1 As2 Pd2
311,La1 Lu1 Mg2
312,Li40 La8 O32
313,Li40 La8 O32
314,La1 Mg6 C1
315,La2 Mg12 C2
316,Ca2 La16 Se24
317,Ca2 La16 Se24
318,La20 Ti20 O68
319,La10 Ti10 O34
320,La1 Nd1 Ni10
321,La46 Mg8 Ir14
322,La24 C16 I24
323,La12 Co26 Bi2
324,La2 Mg1 Ni9
325,La4 Ge10 Rh6
326,La2 In2 Ni4
327,Ca4 La4 I20
328,Ca4 La4 I20
329,Ca2 La2 I10
330,Ca2 La2 I10
331,La40 S56 O4
332,La4 S2 O12
333,La1 Fe2 P2
334,La2 Sb1 Au3
335,La2 Ge2 Ru2
336,Li1 La2 Ru1
337,La6 Mg23 C1
338,La8 Ge4 O20
339,La1 Pm1 Zn2
340,Li1 La1 Hg2
341,La3 Re2 O10
342,La4 Al4 I2
343,La12 Al6 Fe22
344,La30 Ge18 P2
345,La6 Nb2 Sb10
346,La2 Ni10 P6
347,La3 Mg12 Cu3
348,La1 Al2 Ag3
349,La1 Al2 Ag3
350,La2 Mg2 Cu4
351,La46 Mg8 Rh14
352,La20 Ga10 Cl8
353,La8 Ga4 N12
354,La8 Sb4 Pb2
355,La2 Co2 Si1
356,La5 B4 Rh15
357,La1 Nd1 Al6
358,La6 Cu6 Bi8
359,La4 In4 O12
360,La1 Tl1 Au2
361,La6 Cu6 O17
362,La6 Cu6 O17
363,La1 Si2 Ni2
364,La4 Rh4 I2
365,La4 Ta4 O16
366,La2 Ta2 O8
367,La8 Ta8 O32
368,La6 Sb2 O6
369,Li1 La2 Os1
370,La1 Ag2 Hg1
371,La1 Ag2 Hg1
372,La4 Se4 S4
373,La2 Mg12 Bi2
374,La1 Mg6 Bi1
375,La16 Cd4 Ni4
376,La4 U2 Te10
377,La4 Si4 Rh4
378,La2 Mg12 Zn2
379,La1 Mg6 Zn1
380,La16 Mn18 O54
381,La8 Ni4 O17
382,La8 Ni4 O17
383,La8 Ni4 O17
384,La8 Ni4 O17
385,La12 Ga8 Rh8
386,La2 Mg1 In1
387,La4 Ni10 C6
388,La1 Mg6 B1
389,La1 Mg6 B1
390,La2 Ge2 Au2
391,La4 B12 O24
392,La2 B6 O12
393,La6 I18 O54
394,La2 I6 O18
395,La2 I6 O18
396,Ca18 La10 Cl66
397,La4 B8 Ir8
398,La5 Tl1 Se8
399,La2 Cl6 O14
400,La2 Cl6 O14
401,La2 Cl6 O14
402,La12 Pt12 O44
403,La4 Co4 I2
404,La1 Ge2 Pd2
405,La10 B6 O26
406,La1 Y1 Mg4
407,La4 As4 O16
408,La2 As2 O8
409,La2 As2 O8
410,La2 Zr2 F14
411,La1 Ce1 Sn6
412,La18 Mn10 S42
413,La1 Mg14 Fe1
414,La1 Mg14 Fe1
415,La1 Ni2 Rh3
416,Li2 La2 Mg12
417,Li2 La2 Mg12
418,In3 B1
419,In3 B1
420,B80 H104
421,B80 H104
422,B80 H104
423,Fe23 B6
424,Ca1 B2
425,Pu1 B6
426,Tb4 B16
427,Tb4 B16
428,B72 H88
429,B72 H88
430,B2 W4
431,Mn4 B2
432,Mg15 B1
433,Nd8 B20
434,Ho4 B16
435,Bi1 B6
436,K1 B6
437,B5 Mo2
438,B10 Mo4
439,Sm1 B6
440,B2 Pb6
441,V6 B4
442,Co10 B32
443,Dy1 B6
444,B12 Mo3
445,B16 Mo4
446,Nb4 B6
447,Cu16 B80
448,Cu16 B80
449,B2 W2
450,B4 W4
451,B6 Rh14
452,B40 H72
453,B40 H72
454,B5 H9
455,B128 F192
456,Np3 B1
457,Fe4 B8
458,Fe1 B2
459,Li5 B4
460,Li5 B4
461,B56 C14
462,B56 C14
463,B12 C3
464,B12 C3
465,B12 C3
466,B12 C3
467,Cs1 B1
468,Re2 B6
469,Tc2 B4
470,B8 F24
471,B8 F24
472,Mg4 B28
473,Al1 B2
474,Fe12 B4
475,Fe12 B4
476,Fe6 B2
477,Tb1 B6
478,Be2 B1
479,Ni4 B2
480,Ta6 B4
481,B2 Os6
482,Cr8 B4
483,Cr4 B2
484,B4 H12
485,Hf1 B1
486,B13 N2
487,Mg7 B1
488,Fe2 B8
489,B8 C24
490,Nd1 B6
491,B16 Ru22
492,Hf1 B2
493,B8 Cl16
494,B4 Mo2
495,B2 Mo1
496,Ta3 B4
497,B24 O3
498,B24 O3
499,B48 O6
500,B48 O6
501,B20 I4
502,Tm1 B6
503,Yb4 B16
504,Sm4 B16
505,V5 B6
506,V4 B6
507,Zr2 B2
508,Zr2 B2
509,Zr1 B1
510,Re6 B2
511,Mn4 B4
512,Mn8 B8
513,Co4 B4
514,Ni8 B6
515,Ni16 B12
516,Lu1 B2
517,B9 N1
518,Th1 B12
519,Tm1 B12
520,B4 Os4
521,B1 Os1
522,Cr2 B2
523,Cr4 B4
524,Ce1 B6
525,B6 Ir4
526,B6 Ru4
527,B12 W1
528,Dy4 B16
529,Y1 B6
530,B2 Pd12
531,B2 Pd12
532,Dy1 B2
533,B2 Pt2
534,B2 Pt2
535,Ti1 B2
536,B84 O11
537,B84 O11
538,V2 B2
539,B4 Pd10
540,B24 P3
541,B2 Mo2
542,B4 Mo4
543,B2 C10
544,B2 C10
545,B1 C5
546,B1 C5
547,B1 C5
548,B20 F24
549,Si3 B12
550,Re2 B4
551,Ta4 B2
552,Np1 B12
553,Na3 B20
554,B40 O60
555,B40 O60
556,B40 O60
557,B40 O60
558,B40 O60
559,B4 O6
560,B6 O9
561,B100 S150
562,B4 S6
563,Zr1 B12
564,Mn8 B2
565,B16 S32
566,B12 S24
567,B34 F54
